Provinsi,x2018,x2019,x2020,x2021,x2022,a2018,a2019,a2020,a2021,a2022,b2018,b2019,b2020,b2021,b2022,c2018,c2019,c2020,c2021,c2022,d2018,d2019,d2020,d2021,d2022,e2018,e2019,e2020,e2021,e2022,f2018,f2019,f2020,f2021,f2022
Kalimantan Tengah,61.8,61.2,62.5,63.3,61.8,59.6,64.1,65.2,66.7,70.0,69.5,71.5,71.6,72.5,74.1,69.3,71.3,73.6,75.4,75.7,85.5,84.4,83.2,85.2,78.6,42.1,39.1,41.4,39.8,22.5,44.6,37.2,40.3,40.0,44.1
Kalimantan Selatan,69.4,71.8,72.7,72.7,72.6,78.3,76.2,79.0,81.7,83.4,62.5,81.1,84.3,82.1,85.7,70.8,73.0,75.8,78.9,79.4,95.6,95.8,95.5,95.4,92.6,52.5,47.0,50.8,48.7,37.5,56.7,57.4,50.7,49.1,35.1
Kalimantan Timur,67.0,68.9,68.9,68.5,67.9,80.0,73.5,74.7,77.4,79.6,67.7,83.5,84.1,90.4,87.6,83.5,86.4,87.3,87.8,88.7,83.1,88.4,86.3,79.1,73.0,35.8,32.8,31.9,28.9,48.4,51.7,48.6,49.0,47.6,46.2
Kalimantan Utara,67.3,68.5,69.2,69.1,67.2,75.2,70.9,71.7,74.7,75.1,66.7,83.4,84.6,86.2,90.3,85.6,82.6,85.8,83.3,86.1,81.6,83.2,79.8,78.8,61.6,36.4,33.5,38.8,36.1,30.0,58.5,57.7,54.5,55.8,48.6
Sulawesi Utara,69.0,69.9,70.3,69.3,70.4,75.6,78.6,80.5,80.0,80.5,55.0,62.4,66.6,68.1,72.9,84.0,86.6,87.9,88.3,89.1,94.8,93.4,92.5,88.5,89.6,35.3,34.1,36.5,33.8,36.3,69.2,64.1,57.9,57.4,53.6
Sulawesi Tengah,68.1,68.9,68.5,69.2,69.4,64.5,68.6,69.4,75.0,76.3,64.5,74.3,78.5,80.8,79.6,76.4,77.7,79.6,82.3,80.9,88.4,86.0,85.2,82.3,80.1,46.4,41.8,43.8,41.2,34.2,68.2,65.2,54.3,53.4,56.3
Sulawesi Selatan,70.0,70.6,70.5,72.0,73.2,69.9,70.1,73.1,76.0,76.9,71.7,82.6,84.4,84.4,89.2,86.3,88.6,89.9,91.4,92.1,89.7,87.3,83.1,86.8,82.0,35.7,33.0,35.3,32.7,41.4,66.9,62.0,57.2,61.0,58.0
Sulawesi Tenggara,64.3,67.3,66.8,68.2,68.1,51.4,59.3,60.3,63.5,72.4,59.8,72.2,74.1,76.7,75.1,81.0,84.7,87.4,88.8,90.9,88.2,85.4,83.2,81.4,71.4,34.6,38.5,38.5,36.3,34.0,70.5,63.5,57.4,62.7,65.2
Gorontalo,71.0,73.8,72.5,72.1,72.6,76.5,79.1,79.6,80.0,80.1,56.2,67.9,64.7,67.0,67.6,79.0,84.4,84.9,86.6,88.0,80.8,87.1,82.8,75.3,69.0,55.8,55.0,53.9,55.8,37.0,77.9,69.2,69.1,68.0,62.0
Sulawesi Barat,71.9,73.3,69.6,73.4,73.5,62.4,65.8,64.6,68.6,69.1,85.1,88.7,83.0,94.2,88.5,69.7,72.4,74.9,79.2,78.9,83.0,88.7,84.7,82.0,83.6,47.3,46.0,47.1,48.2,56.2,83.9,78.2,63.3,68.2,75.0
Maluku,54.7,56.6,55.5,57.4,57.4,39.6,47.5,51.0,52.1,52.7,54.9,71.7,69.4,72.5,78.3,81.2,80.4,83.4,85.0,84.3,43.2,43.3,40.8,50.6,47.2,34.2,32.7,38.0,35.4,48.9,75.1,63.9,50.2,48.9,72.0
Maluku Utara,58.6,58.3,57.2,60.1,60.2,50.4,56.0,58.8,61.1,60.5,73.3,77.5,76.1,76.1,81.6,77.0,78.8,81.4,82.9,83.7,48.9,40.5,40.9,51.9,48.8,39.2,42.5,42.1,43.1,33.7,63.0,54.3,44.1,45.3,48.3
Papua Barat,59.2,63.9,58.3,57.8,56.1,49.8,55.9,58.0,59.2,55.6,58.7,75.5,72.4,70.4,75.4,79.6,79.1,79.1,79.8,77.5,64.8,68.0,61.5,59.0,51.0,30.4,31.0,29.4,27.4,42.3,71.9,73.7,49.5,51.1,44.6
Papua,46.6,48.3,46.6,46.4,47.7,36.1,39.9,40.0,46.2,47.8,65.9,83.8,81.0,81.0,84.8,49.8,49.6,51.5,52.9,52.9,36.1,36.4,47.5,37.7,39.7,14.6,13.0,12.7,11.7,27.8,76.7,67.4,47.1,49.2,49.5
